entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
125,292,577,11714,11721,depuis le 2 octobre jusqu' au 21 décembre,date_absolue,jour,1872.0,10.0,2.0,,,1872-10-02,1872-10-02-00-00,1.0,,,,,,date_complete
126,292,577,11723,11724,le mois,relatif,mois,1872.0,10.0,,,,1872-10,1872-10-00-00-00,,,,,,,mois_courant
127,292,577,11726,11727,le quantième,relatif,datetime,1872.0,10.0,2.0,0.0,0.0,1872-10-02 00:00,1872-10-02-00-00,1.0,,,,,,jour_courant
128,292,577,11729,11730,le jour,relatif,datetime,1872.0,10.0,2.0,0.0,0.0,1872-10-02 00:00,1872-10-02-00-00,1.0,,,,,,jour_courant
129,294,579,11817,11819,ce jour -là,relatif,datetime,1872.0,10.0,2.0,0.0,0.0,1872-10-02 00:00,1872-10-02-00-00,1.0,,,,,,deictique_date_courante
130,294,579,11821,11823,mercredi 9 octobre,date_absolue,jour,1872.0,10.0,9.0,,,1872-10-09,1872-10-09-00-00,8.0,,,,,,date_complete
131,296,582,11892,11895,en peu d' instants,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
132,306,597,12060,12069,de sept heures vingt du matin à huit heures quarante,intervalle,heure,1872.0,10.0,9.0,7.0,20.0,1872-10-09 07:20,1872-10-09-07-20,8.0,1872-10-09 07:20,1872-10-09 08:40,,,,intervalle_heure
133,313,610,12243,12243,midi,heure,heure,1872.0,10.0,9.0,12.0,0.0,1872-10-09 12:00,1872-10-09-12-00,8.0,,,,,,heure_seule
134,315,612,12253,12253,midi,heure,heure,1872.0,10.0,9.0,12.0,0.0,1872-10-09 12:00,1872-10-09-12-00,8.0,,,,,,heure_seule
135,315,613,12263,12268,neuf heures cinquante - deux minutes,heure,heure,1872.0,10.0,9.0,9.0,52.0,1872-10-09 09:52,1872-10-09-09-52,8.0,,,,,,heure_seule
136,318,620,12331,12333,deux heures environ,heure,heure,1872.0,10.0,9.0,2.0,0.0,1872-10-09 02:00,1872-10-09-02-00,8.0,,,,,,heure_seule
137,323,627,12411,12413,quelques instants après,relatif,datetime,1872.0,10.0,9.0,2.0,1.0,1872-10-09 02:01,1872-10-09-02-01,8.0,,,,,,offset_flou_1min
138,325,630,12433,12434,mercredi dernier,relatif,datetime,1872.0,10.0,2.0,2.0,1.0,1872-10-02 02:01,1872-10-02-02-01,1.0,,,,,,jour_semaine_dernier
139,325,630,12436,12440,à huit heures du soir,heure,heure,1872.0,10.0,2.0,20.0,0.0,1872-10-02 20:00,1872-10-02-20-00,1.0,,,,,,heure_seule
140,325,630,12455,12459,trois quarts d' heure après,heure,heure,1872.0,10.0,2.0,3.0,0.0,1872-10-02 03:00,1872-10-02-03-00,1.0,,,,,,heure_seule
141,329,635,12500,12502,en quatre-vingts jours,duree,intervalle,1872.0,12.0,21.0,3.0,0.0,1872-12-21 03:00,1872-12-21-03-00,81.0,1872-10-02 03:00,1872-12-21 03:00,80.0,jour,en,duree_forward_intervalle_en
142,335,646,12633,12638,le jour même de notre départ,reference_evenement,non_instancie,,,,,,,,,,,,,,reference_evenement
143,346,661,12889,12890,vingt-quatre heures,duree,quantite,,,,,,,,,,,24.0,heure,duree_simple,duree_quantite
144,360,686,13272,13277,un quart d' heure plus tard,heure,heure,1872.0,10.0,2.0,1.0,0.0,1872-10-02 01:00,1872-10-02-01-00,1.0,,,,,,heure_seule
145,361,687,13351,13353,cent trente-huit heures,duree,quantite,,,,,,,,,,,138.0,heure,duree_simple,duree_quantite
146,364,696,13646,13649,au déjeuner du matin,relatif,datetime,1872.0,10.0,2.0,8.0,0.0,1872-10-02 08:00,1872-10-02-08-00,1.0,,,,,,moment_matin
147,364,696,13651,13655,au lunch de deux heures,heure,heure,1872.0,10.0,2.0,2.0,0.0,1872-10-02 02:00,1872-10-02-02-00,1.0,,,,,,heure_seule
148,364,696,13657,13663,au dîner de cinq heures et demie,heure,heure,1872.0,10.0,2.0,5.0,30.0,1872-10-02 05:30,1872-10-02-05-30,1.0,,,,,,heure_seule
149,364,696,13665,13669,au souper de huit heures,heure,heure,1872.0,10.0,2.0,8.0,0.0,1872-10-02 08:00,1872-10-02-08-00,1.0,,,,,,heure_seule
150,369,716,14184,14187,pendant des heures entières,duree,quantite,,,,,,,,,,,,,,duree_quantite
151,371,722,14277,14282,le lendemain du départ de suez,relatif,datetime,1872.0,10.0,3.0,8.0,0.0,1872-10-03 08:00,1872-10-03-08-00,2.0,,,,,,lendemain_plus_1
152,371,722,14277,14281,le lendemain du départ de,relatif,datetime,1872.0,10.0,4.0,8.0,0.0,1872-10-04 08:00,1872-10-04-08-00,3.0,,,,,,lendemain_plus_1
