triplet_id,chapter,Num_paragr,Num_phrase,Sentence_index,Phrase,Sujet,Verbe,Objet,Lemme_verbe,personnages_triptyque,lieux_triptyque,types_lieux_triptyque,time_texte_phrase,time_code_phrase,date_jour_phrase,jour_romanesque_phrase,time_texte_precedent,time_code_precedent,date_jour_precedent,jour_romanesque_precedent,time_texte_auto,time_code_auto,date_jour_auto,jour_romanesque_auto,source_temps_auto,lieux_labels,a_personnage,a_lieu,deplacement
22,1,3,3,4,"Anglais, à coup sûr, Phileas Fogg n' était peut-être pas Londonner.",Phileas Fogg,Londonner,,londonner,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
23,1,3,4,5,"On ne l' avait jamais vu ni à la Bourse, ni à la Banque, ni dans aucun des comptoirs de la Cité.",On,vu,l',voir,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
24,1,3,5,6,Ni les bassins ni les docks de Londres n' avaient jamais reçu un navire ayant pour armateur Phileas Fogg.,les bassins ni les docks de Londres,reçu,un navire,recevoir,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
25,1,3,5,6,Ni les bassins ni les docks de Londres n' avaient jamais reçu un navire ayant pour armateur Phileas Fogg.,,ayant,Phileas Fogg,avoir,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
26,1,3,6,7,Ce gentleman ne figurait dans aucun comité d' administration.,Ce gentleman,figurait,dans aucun comité d'administration,figurer,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
27,1,3,7,8,"Son nom n' avait jamais retenti dans un collège d' avocats, ni au Temple, ni à Lincoln' s - inn, ni à Gray' s - inn.",Son nom,retenti,dans un collège d'avocats ni au Temple ni à Lincoln's-inn ni à Gray's-inn,retentir,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
28,1,3,8,9,"Jamais il ne plaida ni à la Cour du chancelier, ni au Banc de la Reine, ni à l' Échiquier, ni en Cour ecclésiastique.",il,plaida,ni à la Cour du chancelier ni au Banc de la Reine ni à l'Échiquier ni en Cour ecclésiastique,plaider,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
29,1,3,10,11,"Il ne faisait partie ni de l' Institution royale de la Grande-Bretagne, ni de l' Institution de Londres, ni de l' Institution des Artisans, ni de l' Institution Russell, ni de l' Institution littéraire de l' Ouest, ni de l' Institution du Droit, ni de cette Institution des Arts et des Sciences réunis, qui est placée sous le patronage direct de Sa Gracieuse Majesté.",Il,faisait,partie,faire,['0'],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],True,False,False
30,1,3,10,11,"Il ne faisait partie ni de l' Institution royale de la Grande-Bretagne, ni de l' Institution de Londres, ni de l' Institution des Artisans, ni de l' Institution Russell, ni de l' Institution littéraire de l' Ouest, ni de l' Institution du Droit, ni de cette Institution des Arts et des Sciences réunis, qui est placée sous le patronage direct de Sa Gracieuse Majesté.",,réunis,,réunir,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
31,1,3,10,11,"Il ne faisait partie ni de l' Institution royale de la Grande-Bretagne, ni de l' Institution de Londres, ni de l' Institution des Artisans, ni de l' Institution Russell, ni de l' Institution littéraire de l' Ouest, ni de l' Institution du Droit, ni de cette Institution des Arts et des Sciences réunis, qui est placée sous le patronage direct de Sa Gracieuse Majesté.",qui,placée,sous le patronage direct de Sa Gracieuse Majesté,placer,[],[],[],,,,,l' année 1872,1872-00-00-00,,,l' année 1872,1872-00-00-00,,,precedent,[],False,False,False
