cle_triptyque_temps,chapter,Num_paragr,Num_phrase,Phrase,Sujet,Verbe,Objet,time_texte_coref,time_code_coref,time_debut_coref,time_fin_coref,time_source_coref,time_ud_governor_coref,time_texte_auto,time_code_auto,time_debut_auto,time_fin_auto,time_source_auto,time_ud_governor_auto,temps_coref,temps_auto,statut_temps
_ || 3024 || 3026,2,37,117,"Elle lui fit l' effet d' une belle coquille de colimaçon, mais d' une coquille éclairée et chauffée au gaz, car l' hydrogène carburé y suffisait à tous les besoins de lumière et de chaleur.",,chauffée,au gaz,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
_ || 3031 || _,2,37,117,"Elle lui fit l' effet d' une belle coquille de colimaçon, mais d' une coquille éclairée et chauffée au gaz, car l' hydrogène carburé y suffisait à tous les besoins de lumière et de chaleur.",,carburé,,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3030 || 3033 || 3032,2,37,117,"Elle lui fit l' effet d' une belle coquille de colimaçon, mais d' une coquille éclairée et chauffée au gaz, car l' hydrogène carburé y suffisait à tous les besoins de lumière et de chaleur.",l'hydrogène,suffisait,y,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3030 || 3033 || 3037,2,37,117,"Elle lui fit l' effet d' une belle coquille de colimaçon, mais d' une coquille éclairée et chauffée au gaz, car l' hydrogène carburé y suffisait à tous les besoins de lumière et de chaleur.",l'hydrogène,suffisait,à tous les besoins de lumière et de chaleur,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3044 || 3045 || 3047,2,37,118,"Passepartout trouva sans peine, au second étage, la chambre qui lui était destinée.",Passepartout,trouva,sans peine,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3044 || 3045 || 3051,2,37,118,"Passepartout trouva sans peine, au second étage, la chambre qui lui était destinée.",Passepartout,trouva,au second étage,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3044 || 3045 || 3054,2,37,118,"Passepartout trouva sans peine, au second étage, la chambre qui lui était destinée.",Passepartout,trouva,la chambre,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3055 || 3058 || 3056,2,37,118,"Passepartout trouva sans peine, au second étage, la chambre qui lui était destinée.",qui,destinée,lui,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3060 || 3062 || 3061,2,37,119,Elle lui convint.,Elle,convint,lui,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3065 || 3072 || 3071,2,37,120,Des timbres électriques et des tuyaux acoustiques la mettaient en communication avec les appartements de l' entresol et du premier étage.,Des timbres électriques et des tuyaux acoustiques,mettaient,la,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3065 || 3072 || 3074,2,37,120,Des timbres électriques et des tuyaux acoustiques la mettaient en communication avec les appartements de l' entresol et du premier étage.,Des timbres électriques et des tuyaux acoustiques,mettaient,en communication avec les appartements de l'entresol et du premier étage,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3091 || 3093 || 3088,2,37,121,"Sur la cheminée, une pendule électrique correspondait avec la pendule de la chambre à coucher de Phileas Fogg, et les deux appareils battaient au même instant, la même seconde.",une pendule électrique,correspondait,Sur la cheminée,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3091 || 3093 || 3096,2,37,121,"Sur la cheminée, une pendule électrique correspondait avec la pendule de la chambre à coucher de Phileas Fogg, et les deux appareils battaient au même instant, la même seconde.",une pendule électrique,correspondait,avec la pendule de la chambre à coucher de Phileas Fogg,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3109 || 3110 || 3113,2,37,121,"Sur la cheminée, une pendule électrique correspondait avec la pendule de la chambre à coucher de Phileas Fogg, et les deux appareils battaient au même instant, la même seconde.",les deux appareils,battaient,au même instant,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3109 || 3110 || 3117,2,37,121,"Sur la cheminée, une pendule électrique correspondait avec la pendule de la chambre à coucher de Phileas Fogg, et les deux appareils battaient au même instant, la même seconde.",les deux appareils,battaient,la même seconde,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3120 || 3122 || 3121,2,38,122,"«Cela me va, cela me va!» se dit Passepartout.",Cela,va,me,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3124 || 3126 || 3125,2,38,122,"«Cela me va, cela me va!» se dit Passepartout.",cela,va,me,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3131 || 3130 || 3129,2,38,122,"«Cela me va, cela me va!» se dit Passepartout.",Passepartout,dit,se,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3133 || 3134 || 3139,2,39,123,"Il remarqua aussi, dans sa chambre, une notice affichée au-dessus de la pendule.",Il,remarqua,dans sa chambre,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3133 || 3134 || 3142,2,39,123,"Il remarqua aussi, dans sa chambre, une notice affichée au-dessus de la pendule.",Il,remarqua,une notice,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
_ || 3143 || 3144,2,39,123,"Il remarqua aussi, dans sa chambre, une notice affichée au-dessus de la pendule.",,affichée,au-dessus de la pendule,depuis cinq ans,1867-00-00-00-00,,,precedent_context,cherché,ce mercredi 2 octobre 1872,1872-10-02-00-00,,,precedent_context,êtes,1867-00-00-00,1872-10-02-00,temps_different
3157 || 3158 || 3162,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",Il,comprenait,depuis huit heures du matin heure réglementaire,depuis huit heures du matin,1872-00-00-00-00,,,objet,comprenait,depuis huit heures du matin,1872-10-02-08-00,,,objet,comprenait,1872-00-00-00,1872-10-02-08,temps_different
3157 || 3158 || 3178,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",Il,comprenait,jusqu'à onze heures et demie heure Club-tous les détails du service le thé et les rôties de huit heures vingt-trois l'eau pour la barbe de neuf heures trente-sept la coiffure de dix heures moins vingt,jusqu' à onze heures et demie,1872-00-00-00-00,,,objet,comprenait,jusqu' à onze heures et demie,1872-10-02-11-30,,,objet,comprenait,1872-00-00-00,1872-10-02-11-30,temps_different
3172 || 3171 || _,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",Phileas Fogg,levait,,jusqu' à onze heures et demie,1872-00-00-00-00,,,ud_scope_anchor,comprenait,jusqu' à onze heures et demie,1872-10-02-11-30,,,ud_scope_anchor,comprenait,1872-00-00-00,1872-10-02-11-30,temps_different
3185 || 3186 || 3188,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",il,quittait,sa maison,jusqu' à onze heures et demie,1872-00-00-00-00,,,ud_scope_anchor,comprenait,jusqu' à onze heures et demie,1872-10-02-11-30,,,ud_scope_anchor,comprenait,1872-00-00-00,1872-10-02-11-30,temps_different
3185 || 3190 || _,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",il,aller,,jusqu' à onze heures et demie,1872-00-00-00-00,,,ud_scope_anchor,comprenait,jusqu' à onze heures et demie,1872-10-02-11-30,,,ud_scope_anchor,comprenait,1872-00-00-00,1872-10-02-11-30,temps_different
_ || 3191 || 3193,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",,déjeuner,au Reform-Club,jusqu' à onze heures et demie,1872-00-00-00-00,,,ud_scope_anchor,comprenait,jusqu' à onze heures et demie,1872-10-02-11-30,,,ud_scope_anchor,comprenait,1872-00-00-00,1872-10-02-11-30,temps_different
_ || 3191 || 3194,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",,déjeuner,Reform-Club,jusqu' à onze heures et demie,1872-00-00-00-00,,,ud_scope_anchor,comprenait,jusqu' à onze heures et demie,1872-10-02-11-30,,,ud_scope_anchor,comprenait,1872-00-00-00,1872-10-02-11-30,temps_different
_ || 3191 || 3195,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",,déjeuner,Reform-Club-tous,jusqu' à onze heures et demie,1872-00-00-00-00,,,ud_scope_anchor,comprenait,jusqu' à onze heures et demie,1872-10-02-11-30,,,ud_scope_anchor,comprenait,1872-00-00-00,1872-10-02-11-30,temps_different
3250 || 3247 || 3246,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",le méthodique gentleman,couchait,se,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,ud_scope_anchor,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3253 || 3255 || 3235,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",tout,noté,"de onze heures et demie du matin à minuit-heure gentleman-,",minuit,,,,objet,et,minuit,1872-10-02-00-00,,,objet,et,,1872-10-02-00,seulement_auto
3253 || 3257 || _,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",tout,prévu,,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,ud_scope_anchor,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3253 || 3259 || _,2,39,125,"Il comprenait- depuis huit heures du matin, heure réglementaire à laquelle se levait Phileas Fogg, jusqu' à onze heures et demie, heure à laquelle il quittait sa maison pour aller déjeuner au Reform - Club - tous les détails du service, le thé et les rôties de huit heures vingt-trois, l' eau pour la barbe de neuf heures trente-sept, la coiffure de dix heures moins vingt,etc. Puis de onze heures et demie du matin à minuit - heure à laquelle se couchait le méthodique gentleman -, tout était noté, prévu, régularisé.",tout,régularisé,,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,ud_scope_anchor,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3261 || 3263 || 3262,2,39,126,Passepartout se fit une joie de méditer ce programme et d' en graver les divers articles dans son esprit.,Passepartout,fit,se,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3261 || 3263 || 3265,2,39,126,Passepartout se fit une joie de méditer ce programme et d' en graver les divers articles dans son esprit.,Passepartout,fit,une joie,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3261 || 3267 || 3269,2,39,126,Passepartout se fit une joie de méditer ce programme et d' en graver les divers articles dans son esprit.,Passepartout,méditer,ce programme,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3261 || 3273 || 3272,2,39,126,Passepartout se fit une joie de méditer ce programme et d' en graver les divers articles dans son esprit.,Passepartout,graver,en,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3261 || 3273 || 3276,2,39,126,Passepartout se fit une joie de méditer ce programme et d' en graver les divers articles dans son esprit.,Passepartout,graver,les divers articles,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3261 || 3273 || 3279,2,39,126,Passepartout se fit une joie de méditer ce programme et d' en graver les divers articles dans son esprit.,Passepartout,graver,dans son esprit,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3288 || 3292 || 3284,2,40,127,"Quant à la garde-robe de monsieur, elle était fort bien montée et merveilleusement comprise.",elle,montée,Quant à la garde-robe de monsieur,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3288 || 3295 || _,2,40,127,"Quant à la garde-robe de monsieur, elle était fort bien montée et merveilleusement comprise.",elle,comprise,,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3298 || 3303 || 3305,2,40,128,"Chaque pantalon, habit ou gilet portait un numéro d' ordre reproduit sur un registre d' entrée et de sortie, indiquant la date à laquelle, suivant la saison, ces vêtements devaient être tour à tour portés.",Chaque pantalon habit ou gilet,portait,un numéro d'ordre,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
_ || 3308 || 3311,2,40,128,"Chaque pantalon, habit ou gilet portait un numéro d' ordre reproduit sur un registre d' entrée et de sortie, indiquant la date à laquelle, suivant la saison, ces vêtements devaient être tour à tour portés.",,reproduit,sur un registre d'entrée et de sortie,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
_ || 3318 || 3320,2,40,128,"Chaque pantalon, habit ou gilet portait un numéro d' ordre reproduit sur un registre d' entrée et de sortie, indiquant la date à laquelle, suivant la saison, ces vêtements devaient être tour à tour portés.",,indiquant,la date,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
_ || 3324 || _,2,40,128,"Chaque pantalon, habit ou gilet portait un numéro d' ordre reproduit sur un registre d' entrée et de sortie, indiquant la date à laquelle, suivant la saison, ces vêtements devaient être tour à tour portés.",,suivant,,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3329 || 3330 || 3322,2,40,128,"Chaque pantalon, habit ou gilet portait un numéro d' ordre reproduit sur un registre d' entrée et de sortie, indiquant la date à laquelle, suivant la saison, ces vêtements devaient être tour à tour portés.",ces vêtements,devaient,à laquelle,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3329 || 3330 || 3326,2,40,128,"Chaque pantalon, habit ou gilet portait un numéro d' ordre reproduit sur un registre d' entrée et de sortie, indiquant la date à laquelle, suivant la saison, ces vêtements devaient être tour à tour portés.",ces vêtements,devaient,la saison,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3329 || 3335 || _,2,40,128,"Chaque pantalon, habit ou gilet portait un numéro d' ordre reproduit sur un registre d' entrée et de sortie, indiquant la date à laquelle, suivant la saison, ces vêtements devaient être tour à tour portés.",ces vêtements,portés,,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3353 || 3354 || 3362,2,41,130,"En somme, dans cette maison de Saville - row qui devait être le temple du désordre à l' époque de l' illustre mais dissipé Sheridan -, ameublement confortable, annonçant une belle aisance.",qui,devait,"à l'époque de l'illustre mais dissipé Sheridan-, ameublement confortable",jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
_ || 3374 || 3377,2,41,130,"En somme, dans cette maison de Saville - row qui devait être le temple du désordre à l' époque de l' illustre mais dissipé Sheridan -, ameublement confortable, annonçant une belle aisance.",,annonçant,une belle aisance,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3398 || 3401 || 3404,2,41,131,"Pas de bibliothèque, pas de livres, qui eussent été sans utilité pour Mr. Fogg, puisque le Reform - Club mettait à sa disposition deux bibliothèques, l' une consacrée aux lettres, l' autre au droit et à la politique.",le Reform-Club,mettait,à sa disposition,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3398 || 3401 || 3406,2,41,131,"Pas de bibliothèque, pas de livres, qui eussent été sans utilité pour Mr. Fogg, puisque le Reform - Club mettait à sa disposition deux bibliothèques, l' une consacrée aux lettres, l' autre au droit et à la politique.",le Reform-Club,mettait,deux bibliothèques l'une,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
_ || 3410 || 3412,2,41,131,"Pas de bibliothèque, pas de livres, qui eussent été sans utilité pour Mr. Fogg, puisque le Reform - Club mettait à sa disposition deux bibliothèques, l' une consacrée aux lettres, l' autre au droit et à la politique.",,consacrée,aux lettres l'autre au droit et à la politique,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
_ || 3427 || _,2,41,132,"Dans la chambre à coucher, un coffre - fort de moyenne grandeur, que sa construction défendait aussi bien de l' incendie que du vol.",,coucher,,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3439 || 3440 || 3437,2,41,132,"Dans la chambre à coucher, un coffre - fort de moyenne grandeur, que sa construction défendait aussi bien de l' incendie que du vol.",sa construction,défendait,que,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3439 || 3440 || 3445,2,41,132,"Dans la chambre à coucher, un coffre - fort de moyenne grandeur, que sa construction défendait aussi bien de l' incendie que du vol.",sa construction,défendait,aussi bien de l'incendie que du vol,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3465 || 3467 || 3466,2,41,134,Tout y dénotait les habitudes les plus pacifiques.,Tout,dénotait,y,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3465 || 3467 || 3469,2,41,134,Tout y dénotait les habitudes les plus pacifiques.,Tout,dénotait,les habitudes les plus pacifiques,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3482 || 3476 || 3478,2,42,135,"Après avoir examiné cette demeure en détail, Passepartout se frotta les mains, sa large figure s' épanouit, et il répéta joyeusement:",Passepartout,examiné,cette demeure,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3482 || 3476 || 3480,2,42,135,"Après avoir examiné cette demeure en détail, Passepartout se frotta les mains, sa large figure s' épanouit, et il répéta joyeusement:",Passepartout,examiné,en détail,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3482 || 3484 || 3483,2,42,135,"Après avoir examiné cette demeure en détail, Passepartout se frotta les mains, sa large figure s' épanouit, et il répéta joyeusement:",Passepartout,frotta,se,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3482 || 3484 || 3486,2,42,135,"Après avoir examiné cette demeure en détail, Passepartout se frotta les mains, sa large figure s' épanouit, et il répéta joyeusement:",Passepartout,frotta,les mains,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
3490 || 3492 || _,2,42,135,"Après avoir examiné cette demeure en détail, Passepartout se frotta les mains, sa large figure s' épanouit, et il répéta joyeusement:",sa large figure,épanouit,,jusqu' à onze heures et demie,1872-00-00-00-00,,,precedent_context,comprenait,de onze heures et demie du matin,1872-10-02-11-30,,,precedent_context,noté,1872-00-00-00,1872-10-02-11-30,temps_different
