cle_triptyque_temps,chapter,Num_paragr,Num_phrase,Phrase,Sujet,Verbe,Objet,time_texte_coref,time_code_coref,time_debut_coref,time_fin_coref,time_source_coref,time_ud_governor_coref,time_texte_auto,time_code_auto,time_debut_auto,time_fin_auto,time_source_auto,time_ud_governor_auto,temps_coref,temps_auto,statut_temps
5713 || 5717 || 5716,3,108,235,"- C' est de la folie! s' écria Andrew Stuart, qui commençait à se vexer de l' insistance de son partenaire.",qui,vexer,se,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5713 || 5717 || 5720,3,108,235,"- C' est de la folie! s' écria Andrew Stuart, qui commençait à se vexer de l' insistance de son partenaire.",qui,vexer,de l'insistance de son partenaire,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5725 || _,3,108,236,Tenez! jouons plutôt.,,Tenez,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5727 || _,3,108,236,Tenez! jouons plutôt.,,jouons,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
_ || 5731 || _,3,109,237,"- Refaites alors, répondit Phileas Fogg, car il y a maldonne.»",,Refaites,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5735 || 5734 || _,3,109,237,"- Refaites alors, répondit Phileas Fogg, car il y a maldonne.»",Phileas Fogg,répondit,,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5735 || 5741 || 5740,3,109,237,"- Refaites alors, répondit Phileas Fogg, car il y a maldonne.»",Phileas Fogg,a,y,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5735 || 5741 || 5742,3,109,237,"- Refaites alors, répondit Phileas Fogg, car il y a maldonne.»",Phileas Fogg,a,maldonne,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5745 || 5747 || 5749,3,110,238,"Andrew Stuart reprit les cartes d' une main fébrile; puis, tout à coup, les posant sur la table:",Andrew Stuart,reprit,les cartes,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
5745 || 5747 || 5752,3,110,238,"Andrew Stuart reprit les cartes d' une main fébrile; puis, tout à coup, les posant sur la table:",Andrew Stuart,reprit,d'une main fébrile,tout de suite,1872-10-02-18-00,,,precedent_context,.,pendant cette journée du 29 septembre,1872-09-29-00-00,,,precedent_context,remarqué,1872-10-02-18,1872-09-29-00,temps_different
