chapter,Phrase,Sujet,Verbe,Objet,time_code,macro_categorie_dynamouv,categorie_base_dynamouv,aspect_lexical_dynamouv,maniere_dynamouv
,Toute la compagnie s' avança en masse.,Toute la compagnie,avança,s',1872-12-06-11-03,Dpt au sens large,Dpt au sens faible,atélique,
,Toute la compagnie s' avança en masse.,Toute la compagnie,avança,en masse,1872-12-06-11-03,Dpt au sens large,Dpt au sens faible,atélique,
,Au cas où il m' arriverait malheur…»,Au cas,arriverait,m',1872-12-06-11-03,Dpt au sens large,Dpt au sens strict,télique,
,Une pâleur subite envahit la figure de l' inspecteur de police.,Une pâleur subite,envahit,la figure de l'inspecteur de police,1872-12-06-11-03,Dynamicité spatiale sans dpt,Ch. de disposition,télique,
,Se séparer de l' homme qu' il avait suivi pas à pas et avec tant de persistance!,il,suivi,qu',1872-12-06-11-03,Dpt au sens large,Dpt au sens faible,atélique,
,Se séparer de l' homme qu' il avait suivi pas à pas et avec tant de persistance!,il,suivi,pas à pas et avec tant de persistance,1872-12-06-11-03,Dpt au sens large,Dpt au sens faible,atélique,
,"Quelques instants après, Mr. Fogg avait serré la main de la jeune femme; puis, après lui avoir remis son précieux sac de voyage, il partait avec le sergent et sa petite troupe.",Mr. Fogg,serré,la main de la jeune femme,1872-12-06-11-03,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,
,"Quoi! cet homme qu' il venait de suivre autour du monde, il avait consenti à s' en séparer!",il,venait,,1872-12-06-12-03,Dpt au sens large,Dpt au sens strict,télique,
,"Quoi! cet homme qu' il venait de suivre autour du monde, il avait consenti à s' en séparer!",il,suivre,,1872-12-06-12-03,Dpt au sens large,Dpt au sens faible,atélique,
,"Il est parti, il ne reviendra pas!",il,reviendra,,1872-12-06-12-03,Dpt au sens large,Dpt au sens strict,télique,
,"Il était tenté de s' en aller à travers les longues plaines blanches, à la poursuite de ce Fogg!",Il,aller,s',1872-12-06-12-03,Dpt au sens large,Dpt au sens strict,télique,
,"Il était tenté de s' en aller à travers les longues plaines blanches, à la poursuite de ce Fogg!",Il,aller,en,1872-12-06-12-03,Dpt au sens large,Dpt au sens strict,télique,
,"Il était tenté de s' en aller à travers les longues plaines blanches, à la poursuite de ce Fogg!",Il,aller,à travers les longues plaines blanches,1872-12-06-12-03,Dpt au sens large,Dpt au sens strict,télique,
,"Il était tenté de s' en aller à travers les longues plaines blanches, à la poursuite de ce Fogg!",Il,aller,à la poursuite de ce Fogg,1872-12-06-12-03,Dpt au sens large,Dpt au sens strict,télique,
,"Ni le mécanicien ni le chauffeur n' avaient succombé, et, après un évanouissement assez prolongé, ils étaient revenus à eux.",ils,revenus,après un évanouissement assez prolongé,1872-12-06-12-03,Dpt au sens large,Dpt au sens strict,télique,
,"Ni le mécanicien ni le chauffeur n' avaient succombé, et, après un évanouissement assez prolongé, ils étaient revenus à eux.",ils,revenus,à eux,1872-12-06-12-03,Dpt au sens large,Dpt au sens strict,télique,
,Ils allaient pouvoir continuer ce voyage si malheureusement interrompu.,Ils,allaient,,1872-12-07-17-03,Dpt au sens large,Dpt au sens strict,télique,
,"À l' arrivée de la machine, Mrs. Aouda avait quitté la gare, et s' adressant au conducteur:",À l'arrivée de la machine Mrs Aouda,quitté,la gare,1872-12-07-17-03,Dpt au sens large,Dpt au sens strict,télique,
,«Vous allez partir? lui demanda -t -elle.,Vous,allez,,1872-12-07-17-03,Dpt au sens large,Dpt au sens strict,télique,
,"Quelques instants auparavant, quand tout moyen de locomotion lui manquait, il était décidé à quitter Kearney, et maintenant que le train était là, prêt à s' élancer, qu' il n' avait plus qu' à reprendre sa place dans le wagon, une irrésistible force le rattachait au sol.",il,quitter,Kearney,1872-12-09-17-03,Dpt au sens large,Dpt au sens strict,télique,
