groupe,entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
duree,6,10,37,1066,1068,sur vingt-quatre heures,duree,quantite,,,,,,,,,,,24.0,heure,sur,duree_non_ancree
duree,13,19,56,1692,1694,voilà cinq ans,duree,intervalle,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,1867-10-02 11:30,1872-10-02 11:30,5.0,annee,depuis,duree_depuis_intervalle
duree,18,32,78,2046,2049,pendant les quelques instants,duree,quantite,,,,,,,,,,,,,,duree_quantite
duree,19,34,92,2446,2448,depuis cinq ans,duree,intervalle,1872.0,10.0,2.0,0.0,0.0,1872-10-02 00:00,1872-10-02-00-00,1.0,1867-10-02 00:00,1872-10-02 00:00,5.0,annee,depuis,duree_depuis_intervalle
duree,38,61,171,4419,4420,un jour,duree,quantite,,,,,,,,,,,1.0,jour,duree_simple,duree_quantite
duree,44,79,204,5275,5276,trois mois,duree,quantite,,,,,,,,,,,3.0,mois,duree_simple,duree_quantite
duree,45,80,205,5279,5282,en quatre-vingts jours seulement,duree,intervalle,1872.0,12.0,18.0,0.0,0.0,1872-12-18 00:00,1872-12-18-00-00,78.0,1872-09-29 00:00,1872-12-18 00:00,80.0,jour,en,duree_forward_intervalle_en
duree,46,82,207,5346,5347,7 jours,duree,quantite,,,,,,,,,,,7.0,jour,duree_simple,duree_quantite
duree,47,83,208,5356,5357,13 jours,duree,quantite,,,,,,,,,,,13.0,jour,duree_simple,duree_quantite
duree,48,84,209,5366,5367,3 jours,duree,quantite,,,,,,,,,,,3.0,jour,duree_simple,duree_quantite
duree,49,85,210,5381,5382,13 jours,duree,quantite,,,,,,,,,,,13.0,jour,duree_simple,duree_quantite
duree,50,86,211,5396,5397,6 jours,duree,quantite,,,,,,,,,,,6.0,jour,duree_simple,duree_quantite
duree,51,87,212,5407,5408,22 jours,duree,quantite,,,,,,,,,,,22.0,jour,duree_simple,duree_quantite
duree,52,88,213,5419,5420,7 jours,duree,quantite,,,,,,,,,,,7.0,jour,duree_simple,duree_quantite
duree,53,89,214,5432,5433,9 jours,duree,quantite,,,,,,,,,,,9.0,jour,duree_simple,duree_quantite
duree,54,91,216,5443,5444,quatre-vingts jours,duree,quantite,,,,,,,,,,,80.0,jour,duree_simple,duree_quantite
duree,55,103,230,5681,5683,en quatre-vingts jours,duree,intervalle,1872.0,12.0,18.0,0.0,0.0,1872-12-18 00:00,1872-12-18-00-00,78.0,1872-09-29 00:00,1872-12-18 00:00,80.0,jour,en,duree_forward_intervalle_en
duree,56,123,257,6001,6004,quatre-vingts jours ou moins,duree,quantite,,,,,,,,,,,80.0,jour,duree_simple,duree_quantite
duree,71,147,300,6637,6639,en quatre-vingts jours,duree,intervalle,1873.0,3.0,11.0,0.0,10.0,1873-03-11 00:10,1873-03-11-00-10,161.0,1872-12-21 00:10,1873-03-11 00:10,80.0,jour,en,duree_forward_intervalle_en
duree,72,152,325,6854,6856,depuis cinq ans,duree,intervalle,1872.0,12.0,21.0,0.0,10.0,1872-12-21 00:10,1872-12-21-00-10,81.0,1867-12-21 00:10,1872-12-21 00:10,5.0,annee,depuis,duree_depuis_intervalle
relatif,7,12,44,1345,1348,ce jour -là même,relatif,datetime,1872.0,10.0,2.0,0.0,0.0,1872-10-02 00:00,1872-10-02-00-00,1.0,,,,,,deictique_date_suivante_meme_phrase
relatif,10,13,45,1473,1474,l' année,relatif,annee,1872.0,,,,,1872,1872-00-00-00-00,,,,,,,annee_courante
