triplet_row,triplet_id,Num_paragr,Num_phrase,chapter,verbe,lemme_verbe,est_verbe_deplacement,lieu_entity_id,lieu_texte,lieu_normalise,lieu_id_auto,niveau_lieu,lieu_cat,prep_lieu,relation_lieu,lien_triptyque_lieu,distance_verbe_lieu,head_dependency_relation,head_syntactic_head_ID
9841,9841,1459,3245,,lançant,lancer,False,2485,le train,train,vehicule::train,vehicule,VEH,en,cadre,objet,1,obj,64909
9841,9841,1459,3245,,lançant,lancer,False,2486,son,son,vehicule::son,vehicule,VEH,,cadre,ud_ancetre_verbe,4,det,64914
9842,9842,1459,3245,,lançant,lancer,False,2485,le train,train,vehicule::train,vehicule,VEH,en,cadre,ud_ancetre_verbe,1,obj,64909
9842,9842,1459,3245,,lançant,lancer,False,2486,son,son,vehicule::son,vehicule,VEH,,cadre,objet,4,det,64914
9843,9843,1459,3245,,aurait,avoir,False,2485,le train,train,vehicule::train,vehicule,VEH,en,cadre,ud_ancetre_verbe,9,obj,64909
9843,9843,1459,3245,,aurait,avoir,False,2486,son,son,vehicule::son,vehicule,VEH,,cadre,ud_ancetre_verbe,6,det,64914
9844,9844,1459,3245,,passer,passer,True,2486,son,son,vehicule::son,vehicule,VEH,,cadre,phrase_proche_deplacement,10,det,64914
9851,9851,1461,3250,,eu,avoir,False,2487,des rivières,rivières,toponyme::rivieres,toponyme,LOC,de,source,ud_ancetre_verbe,5,obj,64973
9851,9851,1461,3250,,eu,avoir,False,2488,des trains rigides,trains rigides,vehicule::trains rigides,vehicule,VEH,avec,cadre,ud_ancetre_verbe,12,obl:mod,64973
9852,9852,1461,3250,,passer,passer,True,2487,des rivières,rivières,toponyme::rivieres,toponyme,LOC,de,source,objet,1,obj,64973
9852,9852,1461,3250,,passer,passer,True,2488,des trains rigides,trains rigides,vehicule::trains rigides,vehicule,VEH,avec,cadre,ud_ancetre_verbe,8,obl:mod,64973
9853,9853,1461,3250,,passer,passer,True,2487,des rivières,rivières,toponyme::rivieres,toponyme,LOC,de,source,ud_ancetre_verbe,1,obj,64973
9853,9853,1461,3250,,passer,passer,True,2488,des trains rigides,trains rigides,vehicule::trains rigides,vehicule,VEH,avec,cadre,ud_ancetre_verbe,8,obl:mod,64973
