chapter,Phrase,Sujet,Verbe,Objet,personnages_concernes,time_code,lieu_manuel,type_lieu_manuel,Lemme_verbe,macro_categorie_dynamouv,categorie_base_dynamouv,aspect_lexical_dynamouv,maniere_dynamouv
3,"Phileas Fogg avait quitté sa maison de Saville - row à onze heures et demie, et, après avoir placé cinq cent soixante-quinze fois son pied droit devant son pied gauche et cinq cent soixante-seize fois son pied gauche devant son pied droit, il arriva au Reform - Club, vaste édifice, élevé dans Pall - Mall, qui n' a pas coûté moins de trois millions à bâtir.",Phileas Fogg,quitté,sa maison de Saville-row,phileas fogg,1872-10-02-11-00,maison_fogg,FAC,quitter,Dpt au sens large,Dpt au sens strict,télique,
3,"Phileas Fogg avait quitté sa maison de Saville - row à onze heures et demie, et, après avoir placé cinq cent soixante-quinze fois son pied droit devant son pied gauche et cinq cent soixante-seize fois son pied gauche devant son pied droit, il arriva au Reform - Club, vaste édifice, élevé dans Pall - Mall, qui n' a pas coûté moins de trois millions à bâtir.",Phileas Fogg,quitté,à onze heures et demie,phileas fogg,1872-10-02-11-00,maison_fogg,FAC,quitter,Dpt au sens large,Dpt au sens strict,télique,
3,"Phileas Fogg avait quitté sa maison de Saville - row à onze heures et demie, et, après avoir placé cinq cent soixante-quinze fois son pied droit devant son pied gauche et cinq cent soixante-seize fois son pied gauche devant son pied droit, il arriva au Reform - Club, vaste édifice, élevé dans Pall - Mall, qui n' a pas coûté moins de trois millions à bâtir.",il,arriva,au Reform,phileas fogg,1872-10-02-11-00,reform_club,FAC,arriver,Dpt au sens large,Dpt au sens strict,télique,
3,"À six heures moins vingt, le gentleman reparut dans le grand salon et s' absorba dans la lecture du Morning Chronicle.",le gentleman,reparut,À six heures moins vingt,phileas fogg,1872-10-02-17-00,grand_salon_club,FAC,reparaître,Dpt au sens large,Dpt au sens strict,télique,
3,"À six heures moins vingt, le gentleman reparut dans le grand salon et s' absorba dans la lecture du Morning Chronicle.",le gentleman,reparut,dans le grand salon,phileas fogg,1872-10-02-17-00,grand_salon_club,FAC,reparaître,Dpt au sens large,Dpt au sens strict,télique,
3,"Une demi-heure plus tard, divers membres du Reform - Club faisaient leur entrée et s' approchaient de la cheminée, où brûlait un feu de houille.",divers membres du Reform-Club,approchaient,s',divers membres du reform - club,1872-10-02-17-00,M16,_,approcher,Dpt au sens large,Dpt au sens strict,télique,
3,"Une demi-heure plus tard, divers membres du Reform - Club faisaient leur entrée et s' approchaient de la cheminée, où brûlait un feu de houille.",divers membres du Reform-Club,approchaient,de la cheminée,divers membres du reform - club,1872-10-02-17-00,M16,_,approcher,Dpt au sens large,Dpt au sens strict,télique,
3,"Des inspecteurs de police, gens fort habiles, ont été envoyés en Amérique et en Europe, dans tous les principaux ports d' embarquement et de débarquement, et il sera difficile à ce monsieur de leur échapper.",,échapper,leur,tous les détectives du royaume - uni,1872-10-02-17-00,continent_amerique,GPE,échapper,Dpt au sens large,Dpt au sens strict,télique,manière
3,"Celui qui fit cette réponse n' était autre que Phileas Fogg, dont la tête émergeait alors du flot de papier amassé autour de lui.",dont la tête,émergeait,du flot de papier autour de lui,phileas fogg,1872-10-02-17-00,,,émerger,Dpt au sens large,Dpt au sens strict,télique,
3,"- Oui, quatre-vingts jours! s' écria, Andrew Stuart, qui par inattention, coupa une carte maîtresse, mais non compris le mauvais temps, les vents contraires, les naufrages, les déraillements, etc.",qui,coupa,par inattention,andrew stuart,1872-09-29-00-00,,,couper,Dpt au sens large,Dpt au sens strict,télique,
3,"- Oui, quatre-vingts jours! s' écria, Andrew Stuart, qui par inattention, coupa une carte maîtresse, mais non compris le mauvais temps, les vents contraires, les naufrages, les déraillements, etc.",qui,coupa,une carte maîtresse mais non compris le mauvais temps les vents contraires les naufrages les déraillements etc.,andrew stuart,1872-09-29-00-00,,,couper,Dpt au sens large,Dpt au sens strict,télique,
3,-Je sauterai mathématiquement.,-Je,sauterai,,phileas fogg,1872-10-02-18-00,,,sauter,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,manière
3,"Il n' avait certainement pas parié pour gagner, et n' avait engagé ces vingt mille livres- la moitié de sa fortune- que parce qu' il prévoyait qu' il pourrait avoir à dépenser l' autre pour mener à bien ce difficile, pour ne pas dire inexécutable projet.",Il,gagner,,phileas fogg,1872-10-02-20-00,,,gagner,Dpt au sens large,Dpt au sens strict,télique,
3,"Quant à ses adversaires, eux, ils paraissaient émus, non pas à cause de la valeur de l' enjeu, mais parce qu' ils se faisaient une sorte de scrupule de lutter dans ces conditions.",ils,paraissaient,Quant à ses adversaires,divers membres du reform - club/phileas fogg,1872-10-02-20-00,,,paraître,Dpt au sens large,Dpt au sens strict,télique,
3,"Quant à ses adversaires, eux, ils paraissaient émus, non pas à cause de la valeur de l' enjeu, mais parce qu' ils se faisaient une sorte de scrupule de lutter dans ces conditions.",ils,paraissaient,eux,divers membres du reform - club,1872-10-02-20-00,,,paraître,Dpt au sens large,Dpt au sens strict,télique,
3,"Quant à ses adversaires, eux, ils paraissaient émus, non pas à cause de la valeur de l' enjeu, mais parce qu' ils se faisaient une sorte de scrupule de lutter dans ces conditions.",ils,paraissaient,non pas à cause de la valeur de l'enjeu,divers membres du reform - club,1872-10-02-20-00,,,paraître,Dpt au sens large,Dpt au sens strict,télique,
4,"À sept heures vingt-cinq, Phileas Fogg, après avoir gagné une vingtaine de guinées au whist, prit congé de ses honorables collègues, et quitta le Reform - Club.",Phileas Fogg,gagné,une vingtaine de guinées,phileas fogg,1872-10-02-19-00,reform_club,FAC,gagner,Dpt au sens large,Dpt au sens strict,télique,
4,"À sept heures vingt-cinq, Phileas Fogg, après avoir gagné une vingtaine de guinées au whist, prit congé de ses honorables collègues, et quitta le Reform - Club.",Phileas Fogg,gagné,au whist,phileas fogg,1872-10-02-19-00,reform_club,FAC,gagner,Dpt au sens large,Dpt au sens strict,télique,
4,"À sept heures vingt-cinq, Phileas Fogg, après avoir gagné une vingtaine de guinées au whist, prit congé de ses honorables collègues, et quitta le Reform - Club.",Phileas Fogg,quitta,le Reform-Club,phileas fogg,1872-10-02-19-00,reform_club,FAC,quitter,Dpt au sens large,Dpt au sens strict,télique,
4,"À sept heures vingt-cinq, Phileas Fogg, après avoir gagné une vingtaine de guinées au whist, prit congé de ses honorables collègues, et quitta le Reform - Club.",Phileas Fogg,quitta,Reform-Club,phileas fogg,1872-10-02-19-00,reform_club,FAC,quitter,Dpt au sens large,Dpt au sens strict,télique,
4,"À sept heures vingt-cinq, Phileas Fogg, après avoir gagné une vingtaine de guinées au whist, prit congé de ses honorables collègues, et quitta le Reform - Club.",Phileas Fogg,quitta,Reform-Club,phileas fogg,1872-10-02-19-00,reform_club,FAC,quitter,Dpt au sens large,Dpt au sens strict,télique,
4,"Passepartout, qui avait consciencieusement étudié son programme, fut assez surpris en voyant Mr. Fogg, coupable d' inexactitude, apparaître à cette heure insolite.",Passepartout,apparaître,à cette heure insolite,passepartout,1872-10-02-19-00,,,apparaître,Dpt au sens large,Dpt au sens strict,télique,
4,"Suivant la notice, le locataire de Saville - row ne devait rentrer qu' à minuit précis.",le locataire de Saville-row,rentrer,qu'à minuit précis,phileas fogg,1872-10-03-00-00,rue_fogg,FAC,rentrer,Dpt au sens large,Dpt au sens strict,télique,
4,"Phileas Fogg était tout d' abord monté à sa chambre, puis il appela:",Phileas Fogg,monté,à sa chambre,phileas fogg,1872-10-02-19-00,chambre_fogg,FAC,monter,Dpt au sens large,Dpt au sens faible,atélique,
4,Nous allons faire le tour du monde.»,Nous,allons,,phileas fogg et son domestique,1872-10-02-20-00,,,aller,Dpt au sens large,Dpt au sens strict,télique,
4,Vous descendrez mon mackintosh et ma couverture de voyage.,Vous,descendrez,mon mackintosh et ma couverture de voyage,passepartout/phileas fogg,1872-10-02-20-00,,,descendre,Dpt au sens large,Dpt au sens faible,atélique,
4,"D' ailleurs, nous marcherons peu ou pas.",nous,marcherons,D'ailleurs,phileas fogg et son domestique,1872-10-02-20-00,,,marcher,Dpt au sens large,Dpt au sens faible,atélique,manière
4,"Il quitta la chambre de Mr. Fogg, monta dans la sienne, tomba sur une chaise, et employant une phrase assez vulgaire de son pays:",Il,quitta,la chambre de Mr. Fogg,passepartout/phileas fogg,,chambre_fogg,FAC,quitter,Dpt au sens large,Dpt au sens strict,télique,
4,"Il quitta la chambre de Mr. Fogg, monta dans la sienne, tomba sur une chaise, et employant une phrase assez vulgaire de son pays:",Il,monta,dans la sienne,passepartout,1872-10-02-20-00,chambre_passepartout,FAC,monter,Dpt au sens large,Dpt au sens faible,atélique,
4,"Il quitta la chambre de Mr. Fogg, monta dans la sienne, tomba sur une chaise, et employant une phrase assez vulgaire de son pays:",Il,tomba,sur une chaise,passepartout,1872-10-02-20-00,M26,VEH,tomber,Dynamicité spatiale sans dpt,Ch. de disposition,télique,
4,"On allait à Douvres, bien.",On,allait,à Douvres,phileas fogg et son domestique,1872-10-02-20-00,ville_douvres,GPE,aller,Dpt au sens large,Dpt au sens strict,télique,
4,"Après tout, cela ne pouvait notablement contrarier le brave garçon, qui, depuis cinq ans, n' avait pas foulé le sol de la patrie.",qui,foulé,depuis cinq ans,passepartout,1867-00-00-00-00,M28,VEH,fouler,Dynamicité spatiale sans dpt,Ch. de disposition,atélique,manière
4,"Après tout, cela ne pouvait notablement contrarier le brave garçon, qui, depuis cinq ans, n' avait pas foulé le sol de la patrie.",qui,foulé,le sol de la patrie,passepartout,1867-00-00-00-00,M28,VEH,fouler,Dynamicité spatiale sans dpt,Ch. de disposition,atélique,manière
4,"À huit heures, Passepartout avait préparé le modeste sac qui contenait sa garde-robe et celle de son maître; puis, l' esprit encore troublé, il quitta sa chambre, dont il ferma soigneusement la porte, et il rejoignit Mr. Fogg.",il,quitta,l'esprit,passepartout,1872-10-02-20-00,mr_fogg--0,PER,quitter,Dpt au sens large,Dpt au sens strict,télique,
4,"À huit heures, Passepartout avait préparé le modeste sac qui contenait sa garde-robe et celle de son maître; puis, l' esprit encore troublé, il quitta sa chambre, dont il ferma soigneusement la porte, et il rejoignit Mr. Fogg.",il,quitta,sa chambre,passepartout,1872-10-02-20-00,chambre_passepartout,FAC,quitter,Dpt au sens large,Dpt au sens strict,télique,
4,"À huit heures, Passepartout avait préparé le modeste sac qui contenait sa garde-robe et celle de son maître; puis, l' esprit encore troublé, il quitta sa chambre, dont il ferma soigneusement la porte, et il rejoignit Mr. Fogg.",il,rejoignit,Mr. Fogg,passepartout/phileas fogg,1872-10-02-20-00,mr_fogg--0,PER,rejoindre,Dpt au sens large,Dpt au sens strict,télique,
4,"Le sac faillit s' échapper des mains de Passepartout, comme si les vingt mille livres eussent été en or et pesé considérablement.",Le sac,échapper,des mains de Passepartout,passepartout,1872-10-02-20-00,,,échapper,Dpt au sens large,Dpt au sens strict,télique,manière
4,"Le maître et le domestique descendirent alors, et la porte de la rue fut fermée à double tour.",Le maître et le domestique,descendirent,,phileas fogg/phileas fogg et son domestique/passepartout,1872-10-02-20-00,rue_fogg,FAC,descendre,Dpt au sens large,Dpt au sens faible,atélique,
4,"Phileas Fogg et son domestique montèrent dans un cab, qui se dirigea rapidement vers la gare de Charing - Cross, à laquelle aboutit un des embranchements du South - Eastern - railway.",Phileas Fogg et son domestique,montèrent,dans un cab,phileas fogg/phileas fogg et son domestique/passepartout,1872-10-02-20-00,un_cab,VEH,monter,Dpt au sens large,Dpt au sens faible,atélique,
4,Passepartout sauta à terre.,Passepartout,sauta,à terre,passepartout,1872-10-02-20-00,M38,VEH,sauter,Dynamicité spatiale sans dpt,Simple ch. de relation,télique,manière
4,Son maître le suivit et paya le cocher.,Son maître,suivit,le,passepartout/phileas fogg,1872-10-02-20-00,,,suivre,Dpt au sens large,Dpt au sens faible,atélique,
4,"En ce moment, une pauvre mendiante, tenant un enfant à la main, pieds nus dans la boue, coiffée d' un chapeau dépenaillé auquel pendait une plume lamentable, un châle en loques sur ses haillons, s' approcha de Mr. Fogg et lui demanda l' aumône.",En ce moment une pauvre mendiante un châle en loques sur ses haillons,approcha,s',COREF_29,1872-10-02-20-00,mr_fogg--0,PER,approcher,Dpt au sens large,Dpt au sens strict,télique,
4,"En ce moment, une pauvre mendiante, tenant un enfant à la main, pieds nus dans la boue, coiffée d' un chapeau dépenaillé auquel pendait une plume lamentable, un châle en loques sur ses haillons, s' approcha de Mr. Fogg et lui demanda l' aumône.",En ce moment une pauvre mendiante un châle en loques sur ses haillons,approcha,de Mr. Fogg,COREF_29/phileas fogg,1872-10-02-20-00,mr_fogg--0,PER,approcher,Dpt au sens large,Dpt au sens strict,télique,
4,"Mr. Fogg tira de sa poche les vingt guinées qu' il venait de gagner au whist, et, les présentant à la mendiante:",il,venait,,phileas fogg,1872-10-02-20-00,,,venir,Dpt au sens large,Dpt au sens strict,télique,
4,"Mr. Fogg tira de sa poche les vingt guinées qu' il venait de gagner au whist, et, les présentant à la mendiante:",il,gagner,au whist,phileas fogg,1872-10-02-20-00,,,gagner,Dpt au sens large,Dpt au sens strict,télique,
4,"«Tenez, ma brave femme, dit -il, je suis content de vous avoir rencontrée!»",je,rencontrée,vous,phileas fogg/COREF_29,1872-10-02-20-00,,,rencontrer,Mouvement inféré,,télique,
4,Puis il passa.,il,passa,,phileas fogg,1872-10-02-20-00,,,passer,Dpt au sens large,Dpt au sens strict,télique,
4,Mr. Fogg et lui entrèrent aussitôt dans la grande salle de la gare.,Mr. Fogg,entrèrent,lui,phileas fogg/passepartout,1872-10-02-20-00,salle_gare_cc,FAC,entrer,Dpt au sens large,Dpt au sens strict,télique,
4,Mr. Fogg et lui entrèrent aussitôt dans la grande salle de la gare.,Mr. Fogg,entrèrent,dans la grande salle de la gare,phileas fogg,1872-10-02-20-00,salle_gare_cc,FAC,entrer,Dpt au sens large,Dpt au sens strict,télique,
4,"Puis, se retournant, il aperçut ses cinq collègues du Reform - Club.",il,retournant,se,phileas fogg,1872-10-02-20-00,,,retourner,Dpt au sens large,Dpt au sens strict,télique,
4,-Vous n' oubliez pas que vous devez être revenu?,vous,revenu,,phileas fogg,1872-10-02-20-00,,,revenir,Dpt au sens large,Dpt au sens strict,télique,
4,"- Eh bien, mon garçon, répondit froidement Mr. Fogg, il brûle à votre compte!»",il,brûle,à votre compte,passepartout,1872-10-02-20-00,,,brûler,Dpt au sens large,Dpt au sens strict,télique,manière
5,"Phileas Fogg, en quittant Londres, ne se doutait guère, sans doute, du grand retentissement qu' allait provoquer son départ.",Phileas Fogg,quittant,Londres,phileas fogg,1872-10-02-20-00,ville_londres,GPE,quitter,Dpt au sens large,Dpt au sens strict,télique,
5,"Phileas Fogg, en quittant Londres, ne se doutait guère, sans doute, du grand retentissement qu' allait provoquer son départ.",son départ,allait,qu',phileas fogg,1872-10-02-20-00,ville_londres,GPE,aller,Dpt au sens large,Dpt au sens strict,télique,
5,"Pendant les premiers jours qui suivirent le départ du gentleman, d' importantes affaires s' étaient engagées sur« l' aléa» de son entreprise.",qui,suivirent,le départ du gentleman,phileas fogg,,,,suivre,Dpt au sens large,Dpt au sens faible,atélique,
5,L' honorable gentleman disparut pour faire place au voleur de bank - notes.,L'honorable gentleman,disparut,,phileas fogg,1872-10-09-21-00,,,disparaître,Dpt au sens large,Dpt au sens strict,télique,
