"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"faire le tour";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"Contourner, tourner autour, aller à l'entour.";""
"faire marche arrière";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Reculer.";"Revenir en arrière, reculer.";""
"faire N-lieu";"ne pas le mettre";"";"";"";"";"";"parcourir successivement, visiter";"";"GR II C faire la Bretagne
PR II 7"
"faire surface";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(En parlant d'un sous-marin) Émerger.";"Remonter à la surface de l'eau.";""
"farandoler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Danser la farandole.";"Danser en faisant une farandole.";""
"faucher";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"(Le suj. désigne un cheval) Traîner en demi-rond une des jambes de devant en décrivant un mouvement semblable à celui de la faux.";"Traîner en demi-rond une des jambes de devant, en parlant d’un cheval.";""
"ficher le camp";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Partir rapidement, déguerpir.";"(Familier) Atténuation de foutre le camp, s’en aller, partir, se tirer, déguerpir.";""
"filer 1";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"forme de la trajectoire";"S'enfuir en volant ou en courant, droit devant soi, en ligne droite. Se retirer (subrepticement et) rapidement pour échapper à quelqu'un ou à quelque chose.";"(Familier) S’en aller, se retirer. / (Familier) Avancer rapidement.";""
"filer 2";"Dpt au sens large";"Dpt au sens strict";"atélique";"manière";"vitesse";"(re)configuration de la cible";"Couler lentement en un jet mince et continu.";"Couler doucement et sans se diviser en gouttes, en parlant d’un liquide.";""
"filocher";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"Aller droit et vite; s'enfuir.";"Aller très vite, se dépêcher, foncer.";""
"filtrer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"effort";"immixtion";"[Le suj. désigne un fluide ou les substances et corps solides qu'il contient] Passer à travers un corps poreux, un dispositif qui retient les corps solides. / [Le suj. désigne des ondes] Passer faiblement par un/des interstice(s), un corps qui constitue un obstacle, un écran.";"Passer par un filtre, pénétrer à travers les pores, les interstices d’un corps quelconque. / Passer au travers d’une chose conçue comme obstacle, ralentissement, ou paroi infranchissable.";""
"flâner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"forme de la trajectoire";"Avancer lentement et sans direction précise.";"Se promener sans but, sans hâte et sans objet déterminé.";""
"flânocher";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"forme de la trajectoire";"Synon. de flâner.";"(Familier) Flâner doucement.";""
"flânoter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"forme de la trajectoire";"Synon. dimin. de flâner.";"Flâner, flâncher.";""
"flotter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"[En parlant d'un solide, d'un être vivant ou mort] Être porté par un liquide, s'y maintenir en surface ou en suspension sans s'y enfoncer. / [Le suj. désigne un corps léger, nuage, vapeur en suspension dans l'air] Être porté çà et là, aller au gré des vents dans un mouvement ondoyant. / [Le suj. désigne un objet de matière souple fixé à une de ses extrémités] Se déployer avec un mouvement d'ondulation, généralement par le fait du vent; retomber librement, avec souplesse ou en ondulant au gré des mouvements.";"Surnager. / S’agiter ; voltiger en ondoyant.";""
"foncer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"puissance de la force";"Aller très vite, se déplacer très rapidement. / Charger à fond, se précipiter avec violence en vue d'attaquer./Pousser à fond. / Creuser en descendant.";"Charger à fond, se précipiter sur, fondre sur. / (Par extension) (Familier) Aller très vite, se dépêcher.";""
"fondre";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"puissance de la force";"S'abattre précipitamment sur.";"";""
"forlonger";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Le suj. désigne un animal traqué) S'éloigner de son séjour habituel.";"(Chasse) S’éloigner de ses pacages ordinaires, en parlant des bêtes traquées. / Distancer beaucoup.";""
"fouetter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"Exécuter un fouetté.";"";""
"fouiller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"";"";"";"(L'obj. de la recherche est d'ordre matériel) Explorer avec minutie et en tous sens l'intérieur d'un endroit ou d'une chose.";"(Par extension) Explorer avec soin.";""
"fouiner 1";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"discrétion";"";"(Vx.) ""Fuir, s'esquiver à la manière d'une fouine""";"S'esquiver à la façon d'une fouine.";""
"fouiner 2";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"discrétion";"";"(Usuel) Se livrer à des recherches méticuleuses. Synon. fureter.";"(Familier) Fouiller indiscrètement dans des meubles, dans des papiers, etc.";""
"fouler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"puissance de la force";"instrument";"Marcher sur. / Marcher avec violence sur (quelque chose ou quelqu'un); écraser sous ses pieds.";"(Littéraire) (Soutenu) Marcher sur.";""
"foutre le camp";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Partir rapidement, déguerpir.";"(Populaire) Partir, s’en aller précipitamment.";""
"foxtrotter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Danser le fox-trot.";"Danser le fox-trot.";""
"franchir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Aller, souvent avec effort, au-delà de quelque chose qui sépare.";"Passer au-delà d’un obstacle. / (Par extension) Passer au-delà d’une limite. / Passer, traverser des lieux, des endroits difficiles, de grands espaces, des frontières, etc.";""
"frapper";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Donner un ou plusieurs coups à une personne ou à une chose. / (L'action de frapper est due au mouvement d'un projectile, à la propagation d'un phénomène phys.) Percuter, heurter, toucher, atteindre. [L'action de frapper est due au mouvement d'un projectile, à la propagation d'un phénomène phys.] Percuter, heurter, toucher, atteindre.";"Donner un ou plusieurs coups à quelqu’un, à quelque chose.";""
"fréquenter";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se rendre souvent dans un lieu ou chez quelqu'un.";"Aller souvent dans un lieu.";""
"frétiller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"[En parlant d'un animal] Remuer, s'agiter par de petits mouvements vifs et courts. / [En parlant d'une chose] Bouger, se mettre en mouvement.";"Se remuer ; s’agiter par des mouvements vifs et courts.";""
"friser";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Frôler, passer très près d'un obstacle.";"Raser, effleurer, ne faire que toucher superficiellement.";""
"frôler";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Toucher légèrement au passage. Synon. effleurer.";"Toucher légèrement en passant, ou passer très près, effleurer.";""
"fuguer";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"discrétion";"";" Fam. Faire une fugue; s'enfuir du milieu familial.";"Faire une fugue (en particulier pour un enfant).";""
"fuir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"Se sauver en toute hâte pour échapper à une personne, à une chose, importunes ou menaçantes.";"S’éloigner à toute vitesse, par peur. / (Par analogie) Courir ou se mouvoir avec rapidité, s’éloigner ou sembler s’éloigner, en parlant des choses qui s’échappent ou semblent s’échapper.";""
"fuser";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"puissance de la force";"extension";"Jaillir comme une fusée";"Jaillir comme une fusée, sortir. / Se manifester de façon soudaine et éclatante. / S’étendre, se répandre.";""
"gagner";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Atteindre (un lieu) en parcourant la distance qui sépare de ce lieu.";"Se diriger vers un endroit, et y arriver, y parvenir. / S’étendre, se propager, en parlant de choses qui progressent. / Rejoindre ; rattraper.";""
"galocher";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"instrument";"Faire du bruit en marchant avec des galoches.";"Marcher bruyamment avec des galoches.";""
"galoper";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"vitesse";"(Le suj. désigne un cheval) Aller le galop. / (P. anal.) (Le suj. désigne un animal autre que le cheval) Courir rapidement. / (Le suj. désigne une pers.; fréquemment avec un compl. de lieu) Se déplacer très vite, courir (rapidement). ";"Aller le galop. / (Par extension) Être sur une monture, dans un attelage qui va le galop.";""
"galvauder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"(Fam.) Vagabonder, perdre son temps en traînant sans rien faire. ";"Traîner, muser sans rien faire.";""
"gambader";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"finalité";"Faire des gambades, s'ébattre, folâtrer joyeusement. / Errer, divaguer.";"Faire des gambades.";""
"gambiller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"(Vx.) Agiter ses jambes en les laissant pendantes. / (Arg. et pop.) Marcher, s'en aller. / Danser, se trémousser sur un rythme vif. ";"Remuer les jambes d’un côté et de l’autre, quand on les a pendantes. / (Argot) Danser.";""
"gavotter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser la gavotte.";""
"gicler";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"(re)configuration de la cible";"(Le suj. désigne un élément liquide) Jaillir en éclaboussant. Synon. éclabousser, fuser. / (P. anal.) Se répandre en jaillissant de tous côtés. ";"Jaillir en éclaboussant, éclabousser, fuser. / Se répandre en jaillissant de tous côtés.";""
"gigoter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"(Fam.) (Le suj. désigne une pers., en partic. un enfant) Remuer vivement et fréquemment les jambes, et p. ext., les bras ou tout le corps. Synon. (s)'agiter, gesticuler, (se) trémousser. / P. anal. [Le suj. désigne un animal, notamment un lièvre) Agiter, secouer convulsivement les pattes ou le corps dans les spasmes de l'agonie.";"Remuer continuellement les jambes.";""
"giguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"(Vieilli et rare) Courir, gambader, danser.";"Danser, sauter.";""
"girer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"(Rare) Tourner sur soi-même ou autour d'un axe.";"Tourner, opérer un mouvement de rotation.";""
"glisser 1";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"Se déplacer sans secousse (sur la surface d'un corps lisse ou le long d'un autre corps). / Pénétrer, parvenir (du haut).";"Se mettre en mouvement, comme en coulant sur une surface lisse ou le long d’un autre corps.";""
"glisser 2";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"schéma moteur";"entraînement";"Pénétrer, parvenir (du haut). / Perdre soudain l'équilibre (en marchant sur quelque chose de lisse, de gras, etc.). ";"";""
"godiller 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"instrument";"";"Manœuvrer une embarcation avec la godille.";"Manœuvrer avec la godille.";""
"godiller 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"forme de la trajectoire";"(SPORTS) Skier en godille.";"Par extension) (Ski) Se déplacer en contrôlant la vitesse et la trajectoire par un enchaînement des virages rapides.";""
"gratter";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"Racler pour nettoyer, pour effacer ou pour polir. / (Populaire) Doubler, dépasser quelqu’un ou quelque chose.";""
"gravir";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"effort";"Monter péniblement, éventuellement en s'aidant de ses mains. / Progresser avec difficulté en montant une pente. / Escalader péniblement en s'aidant de ses mains lorsque cela s'avère nécessaire. ";"Monter avec effort.";""
"graviter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"entraînement";"Tourner régulièrement sur son orbite (dans l'espace), autour d'(un centre d'attraction, un noyau central).";"Tourner autour de quelque chose, de quelqu’un.";""
"griller";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"(Familier) Dépasser, prendre de vitesse. / (Familier) Ne pas respecter une étape ou un arrêt.";""
"grimper";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"instrument";"Monter en s'agrippant des pieds et éventuellement des mains.";"Gravir, monter en s’agrippant. / S’élever en s’accrochant aux corps voisins, en parlant de la tige d’une plante.";""
"guincher";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"(Pop.) Danser.";"(Familier) Danser.";""
"herqueller";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"forme de la trajectoire";"";"(Désuet) Aller de çà de là ; vagabonder.";""
"heurter";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"";"Toucher, entrer en contact avec (plus ou moins brutalement, et généralement de façon non intentionnelle).";"Entrer brusquement en contact. / (Spécialement) Entrer en collision avec un corps.";""
"hydroplaner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"milieu";"instrument";"Glisser à la surface de l'eau.";"Planer sur l'eau (pour un hydravion).";""
"hyper";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser la hype.";""
"immigrer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Venir dans un pays étranger pour s'y établir, souvent définitivement. / (P. ext.) Passer d'un endroit à un autre.";"Venir dans un pays dont on n'est pas originaire, pour s’y établir.";""
"inonder";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"(re)configuration de la cible";"extension";"Submerger (la terre) par un afflux d'eau incoercible. ";"Submerger un terrain, un pays par un débordement d’eaux.";""
"inspecter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"extension";"";"Examiner avec attention et minutie. Synon. explorer, faire le tour de, fouiller.";"Examiner avec attention.";""
"interférer";"Mouvement inféré";"";"télique";"";"";"";"Produire un phénomène d'interférence.";"Faire des interférences.";""
"intervenir";"Mouvement inféré";"";"télique";"";"";"";"Prendre part volontairement à une action commencée, à une affaire en cours et y jouer un rôle actif pour la modifier ou l'arrêter. Synon. S'entremettre, s'immiscer, s'ingérer, se mêler, s'interposer.";"Survenir au milieu de, surtout dans un procès, dans une affaire, en parlant des choses.";""
"investir";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Entourer de troupes, de façon à couper toute communication avec l'extérieur. Synon. assiéger, cerner, encercler. / (P. anal.) (L'obj. désigne un lieu d'habitation ou de travail) Envahir par la force. ";"Cerner, entourer avec des troupes une citadelle, une place de guerre, etc.; environner militairement une maison, de manière à empêcher l’entrée et la sortie.";""
"irruptionner";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"(re)configuration de la cible";"";"Entrer brutalement ou en grand nombre dans un endroit.";""
"itinérer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"finalité";"";"Changer régulièrement de lieu.";""
"jaillir";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"puissance de la force";"(re)configuration de la cible";"Sortir avec force et impétuosité (de). / Surgir d'un mouvement rapide et parfois désordonné.";"Sortir impétueusement, en parlant surtout de l’eau ou de tout autre fluide.";""
"jerker";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"Danser le jerk.";"Danser le jerk.";""
"jeter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"puissance de la force";"Exécuter un jeté.";"";""
"lâcher";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Cesser de tenir.";"Laisser aller, laisser échapper.";""
"lambiner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"";"Aller doucement, traîner. / Agir avec lenteur et mollesse en perdant son temps.";"Faire lentement, mollement le peu qu’on fait.";""
"lambinocher";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"vitesse";"diminutif";"";"Lambiner.";""
"larguer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Abandonner, se défaire de.";"(Par extension) Lâcher une chose, la faire tomber.";""
"lever l'ancre";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Quitter un lieu, s'éloigner, partir.";"S'en aller.";""
"lever le camp";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Démonter les installations d'un camp pour s'installer ailleurs. / (P. ext.) Partir rapidement, déguerpir. ";"S'en aller, partir.";""
"libérer";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Rendre à quelqu'un sa liberté de mouvement.";"Rendre libre une personne ou un objet qui est détenu par une loi ou une personne.";""
"longer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Aller le long et près de quelque chose. / S'étendre le long de. Synon. border, côtoyer.";"Passer le long de. / (Par extension) Passer au plus près de. / (Marine) Naviguer le long de, de manière à ne pas perdre de vue. / S’étendre le long de, en parlant des choses.";""
"louvoyer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Marcher en zigzaguant. / Naviguer tantôt à droite, tantôt à gauche de la route à suivre pour gagner un point qu'un vent contraire ne permet pas d'atteindre directement.";"(Marine) Faire plusieurs routes en zigzag au plus près du vent, en lui présentant tantôt un côté du bâtiment, tantôt l’autre. / (Par analogie) Avancer en zigzaguant.";""
"marathoner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"vitesse";"";"(Familier) Courir un marathon.";""
"marauder";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"Aller à la maraude. / (P. anal.) Synon. de rôder.";"Pratiquer la maraude.";""
"marcher";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"Aller d'un endroit vers un autre en faisant une suite de pas à une cadence modérée.";"Se déplacer par un mouvement alternatif des jambes ou des pattes, en ayant toujours un appui au sol. / Mettre le pied sur ou dans quelque chose. / (Militaire) Être dans un mouvements offensif.";""
"marchotter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"diminutif";"Marcher à petits pas, de manière mal assurée.";"";""
"marsouiner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"";"(Zoologie) Se déplacer en mer tel un marsouin en accélérant sous la surface puis en se projetant vigoureusement hors de l'eau pour bénéficier de la plus faible résistance de l'air avant de replonger et ainsi avancer plus vite tout en économisant de l'énergie. / (Aviation) Avancer en faisant des mouvements ondulatoires comme un marsouin ; peut s’utiliser aussi pour une embarcation à moteur rapide (ce qui résulte en général d’un réglage incorrect de inclinaison de l’axe du moteur hors bord par rapport à la quille ou d’un défaut de répartition de la charge en longitudinal).";""
"matassiner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Danser la danse des matassins, faire des gestes de matassin, de bouffon.";""
"mergiturer";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"";"(Par plaisanterie) Sombrer.";""
"mettre les bouts";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"(Pop.) Se sauver rapidement.";"(Argot) Se casser, s’en aller.";""
"mettre les voiles";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"(Familier) Partir, avec une nuance d’inéluctabilité.";""
"mettre pied à terre";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"";"";"";"Descendre de cheval; p.ext., descendre d'un véhicule.";"Descendre de cheval ou de voiture.";""
"mettre pieds à terre";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"Descendre de cheval ou de voiture.";""
"migrer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Effectuer une migration.";"Passer d’un pays dans un autre pour s’y établir. / Voyager, en parlant des oiseaux et autres animaux migrateurs, qui se déplacent tous les ans.";""
"monter";"Dpt au sens large";"Dpt au sens faible";"atélique";"";"";"";"Se déplacer dans un mouvement ascendant; s'élever dans un espace sans limites précises. / Se rendre dans un endroit situé plus haut que là où l'on se trouve.";"Se déplacer vers le haut, se transporter dans un lieu plus élevé, s’élever, gravir, grimper. / S’élever en l’air. / Se placer et se déplacer dans un véhicule.";""
"montrer les talons";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"S'enfuir.";"S'enfuir.";""
"mordre";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"Empiéter sur quelque chose.";"Ronger, creuser ou percer. / Border, comme en empiétant.";""
"muloter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"puissance de la force";"vitesse";"";"Bondir sur sa proie, pour un renard.";""
"nager";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"milieu";"Se soutenir ou se déplacer dans ou sur l'eau grâce à des mouvements appropriés. / (Le suj. désigne un inanimé) Flotter à la surface d'un liquide. ";"Se déplacer dans l'eau (pour un être vivant) par le mouvement de certaines parties du corps. / Flotter.";""
"naître";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Apparaître, commencer à se manifester, à se montrer.";"(Botanique) Sortir de terre, commencer à pousser.";""
"naviguer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"Voyager sur l'eau et en partic. sur mer. / Se déplacer dans l'air. / Se déplacer dans l'espace. / Voyager sur un navire.";"Aller sur mer, sur un lac, sur une rivière. / Piloter ; conduire, en parlant d'un navire ou d'un aéronef.";""
"noctambuler";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"";"Se promener la nuit, faire le noctambule, par nécessité ou par plaisir.";"Se promener, faire la fête... pendant la nuit.";""
"nordir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"(Le suj. désigne le vent) Tourner au nord.";"Tourner au nord.";""
"obliquer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Prendre une direction qui n'est ni perpendiculaire ni parallèle à l'horizon; aller en biais par rapport à sa direction initiale, se détourner. ";"Prendre une direction oblique.";""
"ondoyer 1";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"Remuer au gré du vent, de l'eau ou d'une impulsion quelconque d'une manière qui rappelle le mouvement des ondes à la surface de l'eau. Synon. onduler. ";"Remuer, se mouvoir à la manière des ondes. / Bouger de façon sinueuse.";""
"ondoyer 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Se mouvoir en décrivant des lignes sinueuses. (à propos d'un serpent, par exemple)";"";""
"onduler";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"Le suj. désigne la surface de l'eau] Former des ondes; avoir un mouvement d'ondulation. / Être animé d'un mouvement qui rappelle celui des ondes à la surface de l'eau, le plus souvent sous l'effet du vent, de l'eau. Synon. ondoyer";"Avoir un mouvement d’ondulation lent, mais sensible.";""
"osciller";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"Se déplacer alternativement et plus ou moins régulièrement de part et d'autre d'une position d'équilibre. / P. ext. Se déplacer avec un quelconque mouvement de va-et-vient. Synon. s'agiter, vaciller, remuer, secouer. ";"Se déplacer alternativement en deux sens contraires.";""
"ouestir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"";"Tourner à l'ouest, en parlant du vent.";""
"outrepasser";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"(Vieilli) Aller au-delà d'(une limite), dépasser. ";"(Vieilli) Aller au-delà de, dépasser.";""
"pagayer";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"Ramer avec une pagaie.";"Se servir d’une pagaie comme rame.";""
"papillonner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"forme de la trajectoire";"Aller d'une personne à une autre, d'un objet à un autre, sans s'arrêter, et sans nécessité.";"Voltiger d’un objet à un autre, d’une personne à une autre sans s’arrêter à aucune.";""
"parader 1";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"(re)configuration de la cible";"Défiler, faire des évolutions à pied ou à cheval.";"(Militaire) Défiler dans une revue.";""
"parader 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"schéma moteur";"";"S'exhiber, se faire valoir avec vanité; attirer volontairement l'attention sur soi.";"S’exhiber pour se faire admirer, se pavaner.";""
"paraître";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se présenter à la vue, soudainement ou progressivement.";"Se montrer dans un lieu ou dans certaines circonstances.";""
"parcourir";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"extension";"";"Se déplacer en suivant une direction plus ou moins déterminée, aller dans une, plusieurs, toutes les parties de. Synon. arpenter.";"Traverser un espace en divers sens. / Passer sur ; envahir.";""
"parechoquer";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"manière";"puissance de la force";"instrument";"";"(Rare) Heurter avec son pare-choc.";""
"partir 1";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Se mettre en mouvement, quitter un lieu (pour une destination). ";"Quitter un lieu pour un autre. / Sortir avec impétuosité.";""
"partir 2";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Partir de. S'en aller de.";"";""
"parvenir";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Arriver, venir jusqu'à un point déterminé, souvent grâce à un effort ou malgré des difficultés.";"Arriver à destination, en parlant des choses.";""
"passer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Aller d'un mouvement continu d'un point à un autre; parcourir, traverser un lieu.";"Aller d’un lieu à un autre, traverser un espace. / Traverser.";""
"patauger";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"effort";"milieu";"Piétiner; marcher péniblement, avec difficulté dans un endroit bourbeux, sur un sol détrempé par la pluie, la neige ou dans ce qui détrempe le sol. Synon. barboter, patouiller (fam.). / Remuer, barboter dans l'eau en essayant d'y nager. / Marcher dehors par temps de pluie ou de neige.";"Marcher dans une eau bourbeuse.";""
"patiner";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"instrument";"milieu";"Glisser, évoluer, danser sur la glace avec des patins à glace.";"Glisser sur la glace, sur un sol uni, avec des patins. / Glisser sur le sol sans que les roues tournent ; ou ne pas avancer, alors que les roues tournent, en parlant d’un véhicule.";""
"patricoter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"(Arg.) Danser, remuer (les jambes). ";"Danser, remuer les jambes.";""
"patrigoter";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"schéma moteur";"";"";"Patauger, marcher ou s'enfoncer dans la boue épaisse, dans le patrigot.";""
"patrouiller";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"(re)configuration de la cible";"extension";"(Avec un compl. de lieu) Aller en patrouille, faire une patrouille. / (P. anal.) Aller et venir à la recherche ou à la découverte de quelque chose.";"Faire une patrouille, aller en patrouille.";""
"pâturer";"? Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"";"";"";"Se nourrir en broutant, en paissant.";"(Élevage) Paître, brouter.";""
