"Verbe";"Macro-catégorie";"Catégorie de base";"Aspect lexical";"Manière";"Paramètre 1";"Paramètre 2";"Définition du TLFi";"Définition de Glawi et du Wiktionnaire";"Commentaire"
"se tourner";"Dynamicité spatiale sans dpt";"Ch. de disposition";"télique";"manière";"schéma moteur";"";"Se mettre dans un autre sens, en sens inverse, dans une direction donnée. / Changer de position en effectuant une rotation. / (Le suj. désigne les yeux, le regard) Se diriger par un mouvement courbe vers quelqu'un/quelque chose. ";"Se diriger par un mouvement circulaire, par un mouvement en ligne courbe.";""
"se tracter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"effort";"";"";"";""
"se traîner 1";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"finalité";"schéma moteur";"Avancer en rampant au ras du sol. Synon. ramper.";"Se glisser en rampant.";""
"se traîner 2";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"effort";"vitesse";"Avancer difficilement ou péniblement du fait d'une blessure, d'une infirmité, de l'âge.";"Marcher, avancer avec peine.";""
"se transférer";"Dpt au sens large";"Dpt au sens strict";"télique";"";"";"";"Déplacer, transporter d'un lieu dans un autre selon des modalités précises";"Transporter, porter quelque chose d’un lieu à un autre, faire passer d’un lieu à un autre.";""
"se trémousser";"Dynamicité spatiale sans dpt";"Ch. de disposition";"atélique";"manière";"animation par mouvement";"";"S'agiter avec de petits mouvements rapides et irréguliers. Synon. se tortiller, frétiller, gigoter.";"S’agiter d’un mouvement vif et irrégulier.";""
"se tremper";"Mouvement inféré";"";"télique";"";"";"";"Se plonger dans l'eau; prendre un bain rapide. /  S'asperger abondamment de.";"";""
"se trotter";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"vitesse";"";"(Familier) S'en aller vivement, se sauver, partir.";"(Argot) Partir, filer, s’en aller.";""
"se vacher";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"Faire un atterrissage forcé en pleine nature.";"Arriver au sol dans un endroit non prévu pour cela, en parlant d'un aéronef ou d'un parachutiste.";""
"se volatiliser";"Dpt au sens large";"Dpt au sens strict";"télique";"manière";"(re)configuration de la cible";"";"Forme pronominale de ""volatiliser"": Faire passer à l'état de gaz, de vapeur. Synon. évaporer, sublimer, vaporiser. / Faire disparaître, anéantir rapidement.";"(Familier) Disparaître.";""
"serpenter";"Dpt au sens large";"Dpt au sens faible";"atélique";"manière";"forme de la trajectoire";"";"Former, décrire une ligne sinueuse; se dérouler, se développer en formant des ondulations, des sinuosités. Synon. onduler. / Se déplacer, progresser en suivant une ligne sinueuse. / (Le suj. désigne certains animaux, reptiles, vers, etc.) Ramper avec des mouvements sinueux.";"Suivre une direction sinueuse.";""
"serrer";"Dynamicité spatiale sans dpt";"Simple ch. de relation";"télique";"";"";"";"Passer au plus près de quelque chose. / Longer, passer au plus près de (quelque chose). / Marcher, conduire un véhicule en se tenant le plus près possible du côté droit ou gauche de la route (Serrer sa droite/sa gauche. Serrer à droite, à gauche). / Naviguer aussi près que possible du lit du vent.";"";""
